brand,freezer_capacity,number_of_reviews,price,product_description,ratings,total_capacity
Samsung,,697,"$1,199.99 ","Samsung - 30"" Wide, 22 cu. ft. French Door Refrigerator - Fingerprint Resistant Black Stainless Steel",4.6,
Whirlpool,,12,$749.99 ,Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless-Steel,4.2,
KitchenAid,,6,,KitchenAid - 20.8 Cu. Ft. French Door Built-In Refrigerator - White,4.8,
Bosch,,6,"$2,429.99 ",Bosch - 800 Series 10.0 Cu. Ft. Counter-Depth Refrigerator - Glass-on-White,4.8,
LG,,576,"$3,239.99 ",LG - 24.0 Cu. Ft. Counter-Depth French Door Refrigerator - PrintProof Black Stainless Steel,4.4,
Whirlpool,,15,$749.99 ,Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - White,3.7,
GE,,NA,$638.99 ,GE - 15.6 Cu. Ft. Top-Freezer Refrigerator - White,,
GE,,63,"$2,159.99 ",GE - 23.8 Cu. Ft. French Door Refrigerator - High Gloss Black,4.3,
Viking,,1,"$8,409.00 ",Viking - Professional 5 Series Quiet Cool 22.8 Cu. Ft. Refrigerator - Apple red,5,
Whirlpool,,1,"$1,349.99 ",Whirlpool - 24.6 Cu. Ft. Side-by-Side Refrigerator - Monochromatic Stainless Steel,5,
Maytag,,400,"$1,979.99 ",Maytag - 24.7 Cu. Ft. French Door Refrigerator - White on white,4.5,
Haier,,5,$674.99 ,Haier - 11.6 Cu. Ft. Top-Freezer Refrigerator - White,4.8,
GE,,64,"$2,629.99 ",GE - Profile Series 27.8 Cu. Ft. French Door Refrigerator - Black stainless steel,4.3,
Samsung,,2,"$8,999.00 ",Samsung - Chef Collection 23.5 Cu. Ft. 4-Door Flex French Door Built-In Refrigerator - Panel Ready,5,
GE,,94,"$2,339.99 ",GE - 25 Cu. Ft. French Door Refrigerator - Black stainless steel,4.3,
GE,,19,"$1,484.99 ",GE - 20.9 Cu. Ft. Bottom-Freezer Refrigerator - Black,4.6,
Fisher,,NA,"$2,249.00 ",Fisher & Paykel - ActiveSmart 13.5 Cu. Ft. Bottom-Freezer Counter-Depth Refrigerator - Ezkleen Stainless Steel,,
Fisher,,NA,"$1,999.00 ",Fisher & Paykel - ActiveSmart 17.5 Cu. Ft. Bottom-Freezer Counter-Depth Refrigerator - White,,
Fisher,,NA,"$1,949.00 ",Fisher & Paykel - ActiveSmart 17.5 Cu. Ft. Bottom-Freezer Counter-Depth Refrigerator - White,,
Café,,NA,"$7,586.99 ",Café - 29.6 Cu. Ft. Side-by-Side Built-In Refrigerator - Stainless steel,,
JennAir,,NA,"$3,399.00 ",JennAir - 10 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Custom Panel Ready,,
KingsBottle,,NA,"$2,869.99 ",KingsBottle - 131-Bottle Built-In Wine Cooler - Black,,
KingsBottle,,NA,"$1,744.99 ",KingsBottle - 46-Bottle Built-In Wine Cooler - Black,,
Bertazzoni,,NA,"$7,244.00 ",Bertazzoni - Professional Series 17.7 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Stainless steel,,
LG,,NA,"$8,549.99 ",LG - STUDIO 25.6 Cu. Ft. Side-by-Side Built-In Refrigerator - PrintProof Black Stainless Steel,,
Bosch,,NA,"$2,339.99 ",Bosch - 11.0 Cu. Ft. Counter-Depth Bottom-Freezer Refrigerator - Stainless steel,,
Fisher,,NA,"$6,199.00 ",Fisher & Paykel - ActiveSmart 16.8 Cu. Ft. Bottom-Freezer Built-In Refrigerator,,
Fisher,,NA,"$5,999.00 ",Fisher & Paykel - ActiveSmart 16.8 Cu. Ft. Bottom-Freezer Built-In Refrigerator,,
Fulgor,,NA,"$8,499.00 ",Fulgor Milano - Sofia Professional Series 18.5 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Stainless steel,,
Fulgor,,NA,"$8,499.00 ",Fulgor Milano - Sofia Professional Series 18.5 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Stainless steel,,
Bosch,,NA,"$5,579.99 ",Bosch - Benchmark Series 16 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Stainless steel,,
Bosch,,NA,"$6,749.99 ",Bosch - Benchmark Series 16 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Stainless steel,,
Fisher,,NA,"$5,599.00 ",Fisher & Paykel - Integrated Column 12.4 Cu. Ft. Built-In Refrigerator - Custom Panel Ready,,
JennAir,,NA,"$7,399.00 ",JennAir - 20 Cu. Ft. Built-In Column Refrigerator - Custom Panel Ready,,
Café,,NA,"$7,136.99 ",Café - 25.2 Cu. Ft. Side-by-Side Built-In Refrigerator - Stainless steel,,
Fulgor,,NA,"$7,899.00 ",Fulgor Milano - Sofia Professional Series 18.5 Cu. Ft. Bottom-Freezer Built-In Refrigerator,,
Fulgor,,NA,"$7,899.00 ",Fulgor Milano - Sofia Professional Series 18.5 Cu. Ft. Bottom-Freezer Built-In Refrigerator,,
KitchenAid,,NA,"$6,749.99 ",KitchenAid - 20.9 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Stainless steel,,
KitchenAid,,NA,"$8,549.99 ",KitchenAid - 24.2 Cu. Ft. French Door Built-In Refrigerator - Stainless steel,,
Dacor,,NA,"$19,999.00 ",Dacor - Modernist 17.8 Cu. Ft. Bottom-Freezer Built-In Refrigerator,,
GE,,NA,$638.99 ,GE - 16.6 Cu. Ft. Top-Freezer Refrigerator - White,,
GE,,72,"$1,499.99 ",GE - 18.6 Cu. Ft. French Door Counter-Depth Refrigerator - Slate,4.2,
Whirlpool,,1,"$1,079.99 ",Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator - White,5,
Whirlpool,,1,"$1,169.99 ",Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator - Biscuit,5,
Whirlpool,,1,"$1,079.99 ",Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator - Black,5,
GE,,5,"$2,829.99 ",GE - Profile Series 22.2 Cu. Ft. French Door in Door Counter-Depth Refrigerator - Black stainless steel,3.6,
Frigidaire,,1,$539.99 ,Frigidaire - 10.1 Cu. Ft. Top-Freezer Refrigerator - White,4,
GE,,26,$639.99 ,GE - 14.6 Cu. Ft. Top-Freezer Refrigerator - Black,4.4,
Frigidaire,,76,"$1,199.99 ",Frigidaire - Gallery 25.6 Cu. Ft. Refrigerator - Black stainless steel,4.3,
Monogram,,1,"$6,130.00 ",Monogram - 22 Cu. Ft. Refrigerator - Stainless steel,4,
Haier,,36,"$1,099.99 ",Haier - 16.4 Cu. Ft. Counter-Depth Refrigerator - Stainless steel,4.4,
LG,,28,"$2,767.99 ",LG - 29.9 Cu. Ft. 4-Door French Door-in-Door Smart Wi-Fi Enabled Refrigerator - Black stainless steel,4.4,
KitchenAid,,126,"$1,999.99 ",KitchenAid - 25.2 Cu. Ft. French Door Refrigerator - White,4.4,
KitchenAid,,68,"$2,499.99 ",KitchenAid - 27 Cu. Ft. French Door Refrigerator - Black stainless steel,4.4,
Whirlpool,,175,"$1,709.99 ",Whirlpool - 19.7 Cu. Ft. French Door Refrigerator - Black,4.4,
KitchenAid,,268,"$3,329.99 ",KitchenAid - 26.8 Cu. Ft. French Door Refrigerator - Stainless steel,4.2,
Samsung,,"1,050","$2,599.99 ",Samsung - 27.8 Cu. Ft. French Door Refrigerator with Food ShowCase and Thru-the-Door Ice and Water - Stainless steel,4.4,
Whirlpool,,"1,308",$854.99 ,Whirlpool - 20.5 Cu. Ft. Top-Freezer Refrigerator - Biscuit,4.4,
KitchenAid,,NA,"$2,499.99 ",KitchenAid - 24.8 Cu. Ft. Side-by-Side Refrigerator - Black Stainless Steel With PrintShield Finish,,
KitchenAid,,61,"$2,299.99 ",KitchenAid - 22.1 Cu. Ft. French Door Refrigerator - White,4.4,
GE,,13,"$1,214.99 ",GE - 21.2 Cu. Ft. Top-Freezer Refrigerator - White,3.6,
GE,,30,"$1,889.99 ",GE - 27 Cu. Ft. French Door Refrigerator - High Gloss Black,4.4,
Frigidaire,,105,"$1,999.99 ",Frigidaire - Gallery 26.8 Cu. Ft. French Door Refrigerator - Black stainless steel,4.4,
LG,,438,"$2,199.99 ",LG - 27.8 4-Door French Door Smart Wi-Fi Enabled Refrigerator - PrintProof Black Stainless Steel,4.6,
GE,,67,"$1,709.99 ",GE - 25.1 Cu. Ft. Side-by-Side Refrigerator - Black stainless steel,4.5,
Amana,,54,$949.99 ,Amana - 21.4 Cu. Ft. Side-by-Side Refrigerator - Black,4.2,
Whirlpool,,13,"$1,439.99 ",Whirlpool - 19.7 Cu. Ft. French Door Refrigerator - Black,4.4,
Whirlpool,,345,"$1,399.99 ",Whirlpool - 20.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - White,4.4,
Monogram,,2,"$8,830.00 ",Monogram - 21.2 Cu. Ft. Side-by-Side Built-In Refrigerator - Stainless steel,4.5,
Haier,,NA,"$1,399.99 ",Haier - 27 Cu. Ft. French Door Refrigerator - Stainless steel,,
KitchenAid,,68,"$2,744.99 ",KitchenAid - 26.8 Cu. Ft. French Door Refrigerator - White,4.4,
KitchenAid,,68,"$2,744.99 ",KitchenAid - 26.8 Cu. Ft. French Door Refrigerator - Black,4.4,
GE,,197,"$2,199.99 ",GE - 27.8 Cu. Ft. French Door in Door Refrigerator with Water and Ice Dispenser - Slate,4.5,
Whirlpool,,22,"$1,899.99 ",Whirlpool - 22.1 Cu. Ft. French Door Refrigerator - White,4.6,
KitchenAid,,5,,KitchenAid - 25 Cu. Ft. Side-by-Side Built-In Refrigerator - Stainless steel,4.4,
KitchenAid,,61,"$2,299.99 ",KitchenAid - 22.1 Cu. Ft. French Door Refrigerator - Stainless steel,4.4,
Whirlpool,,22,"$2,099.99 ",Whirlpool - 22.1 Cu. Ft. French Door Refrigerator - Black stainless steel,4.6,
Samsung,,26,"$3,099.99 ",Samsung - Family Hub 27.7 Cu. Ft. 4-Door French Door Refrigerator - Fingerprint Resistant Tuscan Stainless Steel,4.4,
GE,,NA,$665.99 ,GE - 16.6 Cu. Ft. Top-Freezer Refrigerator - Black,,
Whirlpool,,360,"$1,889.99 ",Whirlpool - 24.7 Cu. Ft. French Door Refrigerator - White,4.5,
Whirlpool,,360,"$1,889.99 ",Whirlpool - 24.7 Cu. Ft. French Door Refrigerator - Black,4.5,
Whirlpool,,54,"$1,999.99 ",Whirlpool - 20 Cu. Ft. French Door Counter-Depth Refrigerator - Black,4.5,
Maytag,,5,"$1,599.99 ",Maytag - 20.6 Cu. Ft. Refrigerator - Silver,3.8,
